commodity,cluster
Maize Grain  -  Loose,0
Maize Grain -  Loose,0
Maize Grain - Loose,0
Maize Grain -Loose,0
Maize Grain Loose,0
Maize grain,0
Man g oes,0
Mangoes,0
Matatu Fares,0
Matumbo,0
Melons,0
"Milk - Fresh
Unpacketed",0
Milk - Fresh Packeted,0
Milk - Fresh Unpacketed,0
Milk - Fresh packeted,0
Milk Sour - Mala,0
Mineral Water,0
Mineral Waters,0
Miraa (Khat),0
"Mobile Phone
Airtime",0
Mutton/Goat  Meat,0
Mutton/Goat Meat,0
Newspaper,0
"Non Aromatic (Unbroken)
White Rice",0
Non Aromatic (Unbroken) W h,0
"Non Aromatic (Unbroken) White
Rice",0
Offals (Matumbo),0
"Offals (Matumbo, Liver and
Kidney)",0
"Offals (Matumbo, Liver and Kidney)",0
Offals - Matumbo,0
Offals -Matumbo,0
Onion  -Leeks  and  Bulbs,0
Onion (Leeks and Bulbs),0
"Onion -Leeks and
Bulbs",0
Onion -Leeks and Bulb,0
Onion -Leeks and Bulbs,0
Onions,0
Orang es,0
Orange,0
Oranges,0
Packed milk,0
"Packeted Fresh
Milk Packeted",0
"Packetted Fresh
Milk",0
Paw paws,0
Pawpaw,0
Peas,0
"Peas (Garden, Snap, Snow)",0
Petrol,0
Petrol-Unleaded,0
Petrol-unleaded,0
Pilipili Hoho,0
Pineapples,0
Pot at oes (Irish ),0
Potatoes,0
"Potatoes
(Irish)",0
Potatoes  (Irish),0
Potatoes (Irish),0
Primary-Tuition,0
Private tuition-Primary,1
Rent,0
Rent-Maisonette,1
Rent-Single Room,0
Rice Grade 1,0
Rice Grade 2,0
Rice- Grade 2,0
Ripe Bananas,0
Secondary-Tuition,0
"Sifted Maize
Flour",0
Sifted Maize Flour,0
Single Room,0
Spinach,0
Spirits,0
Sugar,0
"Sukuma
Wiki (Kales)",0
"Sukuma Wiki
(Kales)",0
Tomatoes,0
Traditional Vegetables,0
Ugali Mboga,0
UnPacketed Fresh Milk,0
"Unpacketed
Fresh Milk",0
Water Services,0
Water vendor services,0
Wheat  Flour-White,0
Wheat Flour,0
Wheat Flour-Brown,0
Wheat Flour-White,0
White bread,0
Wines,0
charcoal,0
